,city,date,longitude,latitude,population,AQI,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),windspeed_100m (km/h),winddirection_10m (°),winddirection_100m (°),windgusts_10m (km/h),elevation
0,Beijing,2022-01-01,116.4074,39.9042,21516000.0,4.111111111111111,769.5627777777778,10.76611111111111,50.61055555555556,26.11888888888889,44.980555555555554,47.486111111111114,77.52277777777778,15.82611111111111,-2.344444444444444,31.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,6.577777777777778,17.827777777777776,256.94444444444446,150.11111111111111,19.72222222222222,47.0
1,Beijing,2022-01-02,116.4074,39.9042,21516000.0,5.0,3797.37125,185.61333333333334,101.47583333333334,4.031666666666667,231.82208333333332,290.4195833333333,356.3433333333333,41.85708333333333,-3.345833333333333,40.375,0.0,0.0,19.583333333333332,0.0,14.541666666666666,36.083333333333336,6.508333333333333,9.237499999999999,203.33333333333334,227.125,13.291666666666666,47.0
2,Beijing,2022-01-03,116.4074,39.9042,21516000.0,5.0,3721.1570833333335,221.44958333333332,107.50125000000001,4.019583333333333,195.86125,298.49083333333334,379.00833333333327,57.51416666666666,-1.9708333333333334,40.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,6.1375,8.570833333333333,98.08333333333333,92.04166666666667,10.695833333333333,47.0
3,Beijing,2022-01-04,116.4074,39.9042,21516000.0,5.0,4896.64125,301.5995833333333,110.50083333333333,1.7866666666666668,232.22041666666667,399.9041666666667,483.4354166666667,57.07083333333333,-2.7541666666666664,59.416666666666664,0.0,0.0,1.5833333333333333,0.2916666666666667,0.0,4.375,6.041666666666667,8.458333333333334,95.83333333333333,187.70833333333334,10.783333333333333,47.0
4,Beijing,2022-01-05,116.4074,39.9042,21516000.0,5.0,5174.79625,334.34541666666667,133.66375,2.6454166666666667,298.65916666666664,444.6870833333333,550.60125,63.72083333333333,-3.1666666666666665,71.875,0.0,0.0,2.625,2.8333333333333335,0.0,0.4166666666666667,4.258333333333334,5.820833333333333,158.45833333333334,159.04166666666666,9.1875,47.0
5,Beijing,2022-01-06,116.4074,39.9042,21516000.0,5.0,5684.9325,351.145,125.55208333333333,3.05125,263.37208333333336,481.845,589.6016666666667,60.153333333333336,-1.8916666666666666,52.25,0.0,0.0,0.6666666666666666,0.0,1.0833333333333333,0.0,4.383333333333334,6.304166666666667,184.41666666666666,241.04166666666666,9.345833333333333,47.0
6,Beijing,2022-01-07,116.4074,39.9042,21516000.0,5.0,7523.536666666667,471.32375,214.37625,0.8795833333333333,402.17291666666665,677.8629166666667,831.2158333333333,64.04791666666667,-2.158333333333333,68.25,0.0,0.0,0.5416666666666666,0.0,0.8333333333333334,0.0,4.625,7.825,202.41666666666666,214.75,11.058333333333332,47.0
7,Beijing,2022-01-08,116.4074,39.9042,21516000.0,4.875,2697.2679166666667,137.56541666666666,86.82458333333334,11.297916666666666,128.24916666666667,216.58749999999998,264.445,36.53333333333333,-0.18749999999999997,51.833333333333336,0.0,0.0,11.708333333333334,5.375,2.2916666666666665,18.0,7.2875000000000005,12.120833333333332,90.83333333333333,123.79166666666667,12.8125,47.0
8,Beijing,2022-01-09,116.4074,39.9042,21516000.0,5.0,3876.369166666667,222.93958333333333,106.13083333333333,0.002916666666666667,203.31125,330.58166666666665,392.06583333333333,46.48416666666666,-2.1375,80.375,0.0,0.0,68.54166666666667,45.625,41.166666666666664,51.791666666666664,5.7625,9.379166666666666,147.70833333333334,160.16666666666666,11.9,47.0
9,Beijing,2022-01-10,116.4074,39.9042,21516000.0,4.25,1350.4420833333334,44.055416666666666,59.98374999999999,16.979166666666668,82.26416666666667,91.2075,114.09375,19.807916666666667,-4.016666666666667,26.708333333333332,0.0,0.0,0.7916666666666666,0.08333333333333333,1.1666666666666667,0.0,10.029166666666667,17.358333333333334,112.66666666666667,118.0,19.7125,47.0
10,Beijing,2022-01-11,116.4074,39.9042,21516000.0,5.0,4914.999583333333,291.2058333333333,112.87083333333334,2.63125,297.3075,388.12416666666667,469.59791666666666,54.79125,-4.770833333333333,32.541666666666664,0.0,0.0,11.333333333333334,0.9166666666666666,8.5,17.875,5.458333333333333,7.620833333333334,162.75,158.66666666666666,11.620833333333332,47.0
11,Beijing,2022-01-12,116.4074,39.9042,21516000.0,4.208333333333333,1346.8254166666668,54.08958333333333,60.79083333333333,13.127083333333333,81.65875,87.70958333333334,113.13458333333334,20.68166666666667,-3.904166666666667,26.583333333333332,0.0,0.0,17.875,0.3333333333333333,22.416666666666668,13.625,9.983333333333333,17.420833333333334,123.83333333333333,118.54166666666667,19.045833333333334,47.0
12,Beijing,2022-01-13,116.4074,39.9042,21516000.0,4.958333333333333,3489.17625,172.35041666666666,91.165,5.14125,253.12125,269.6045833333333,344.57625,26.76,-3.1374999999999997,38.625,0.0,0.0,1.4166666666666667,0.0,0.0,4.666666666666667,6.2749999999999995,13.920833333333334,236.0,210.54166666666666,13.3375,47.0
13,Beijing,2022-01-14,116.4074,39.9042,21516000.0,5.0,7896.264999999999,485.4058333333333,203.69333333333336,1.32625,501.03666666666663,692.5004166666666,842.9933333333333,70.655,-3.2458333333333336,64.875,0.0,0.0,11.375,0.0,6.375,24.5,5.3125,9.308333333333334,271.125,246.04166666666666,11.025,47.0
