"date","longitude","latitude","city","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3","temperature_2m","relativehumidity_2m","precipitation","rain","cloudcover","cloudcover_low","cloudcover_mid","cloudcover_high","windspeed_10m","windspeed_100m","winddirection_10m","winddirection_100m","windgusts_10m","elevation"
"2022-01-01",116.4074,39.9042,"Beijing",4.111111111111111,769.5627777777777,10.766111111111112,50.61055555555555,26.11888888888889,44.98055555555555,47.486111111111114,77.52277777777778,15.82611111111111,-2.344444444444444,31.166666666666668,0,0,0,0,0,0,6.577777777777777,17.827777777777776,256.94444444444446,150.11111111111111,19.72222222222223,47
"2022-01-01",77.1025,28.7041,"Delhi",5.0,2562.735,4.488333333333333,55.69722222222222,55.23111111111112,16.824444444444445,312.17611111111114,374.64277777777784,12.836111111111112,12.894444444444446,71.72222222222223,0,0,5.055555555555555,0,0,16.555555555555557,3.8499999999999996,9.477777777777778,165.66666666666666,143.22222222222223,12.222222222222223,227
"2022-01-01",-99.1332,19.4326,"Mexico City",4.333333333333333,1201.6294444444443,22.30944444444444,32.121111111111105,88.72777777777779,36.84833333333333,43.45722222222223,58.42777777777778,3.9427777777777777,13.633333333333333,58.5,0,0,0,0,0,0,6.9833333333333325,8.383333333333333,229.22222222222223,158.5,14.649999999999999,2238
"2022-01-01",72.8777,19.076,"Mumbai",5.0,1818.7627777777775,2.4877777777777776,54.36,133.05888888888887,44.88833333333335,192.13666666666666,229.5,19.006666666666675,25.938888888888883,69,0,0,6.777777777777778,1,5.777777777777778,7.722222222222222,6.811111111111111,16.799999999999997,212.05555555555554,146.77777777777777,15.405555555555557,9
"2022-01-01",135.5023,34.6937,"Osaka",1.9444444444444444,440.04,39.12222222222223,79.18944444444445,7.996666666666666,50.58388888888888,7.936666666666666,11.629999999999999,3.203888888888889,0.8388888888888888,79.61111111111111,0,0,34.333333333333336,36.111111111111114,2.6666666666666665,0.7777777777777778,16.66111111111111,29.622222222222224,176.83333333333334,165.66666666666666,13.799999999999999,14
"2022-01-01",-46.6333,-23.5505,"São Paulo",2.111111111111111,663.8627777777778,6.461111111111111,31.45555555555556,22.87055555555556,20.90111111111111,15.273333333333333,26.481666666666662,8.802777777777777,22.63888888888889,83,0.4888888888888888,0.4888888888888888,74.11111111111111,39.27777777777778,36.55555555555556,67.33333333333333,8.033333333333335,16.827777777777776,169.05555555555554,60.611111111111114,26.000000000000004,739
"2022-01-01",121.4737,31.2304,"Shanghai",5.0,4898.495,269.9094444444445,99.99944444444442,0.053888888888888896,506.083888888889,227.05500000000004,301.2261111111111,3.5,5.700000000000002,80.44444444444444,0,0,26.5,3.0555555555555554,39.44444444444444,0,11.18888888888889,18.572222222222223,95.05555555555556,89.94444444444444,15.416666666666666,4
"2022-01-01",139.6917,35.6895,"Tokyo",1.6111111111111112,333.7861111111111,4.7138888888888895,43.66888888888889,43.48666666666666,33.636666666666656,1.77,3.617777777777778,1.9888888888888887,-0.47777777777777775,65.05555555555556,0,0,17.27777777777778,13.277777777777779,8.88888888888889,0,16.477777777777774,26.516666666666666,148.77777777777777,145.55555555555554,19.972222222222225,43
"2022-01-02",116.4074,39.9042,"Beijing",5.0,3797.37125,185.61333333333334,101.47583333333336,4.031666666666667,231.82208333333332,290.41958333333326,356.34333333333325,41.85708333333333,-3.345833333333333,40.375,0,0,19.583333333333332,0,14.541666666666666,36.083333333333336,6.508333333333333,9.2375,203.33333333333334,227.125,13.291666666666666,47
"2022-01-02",77.1025,28.7041,"Delhi",5.0,2226.9095833333336,3.682916666666667,46.824583333333344,48.112083333333324,15.573333333333336,313.1495833333334,371.2200000000001,10.484166666666665,12.020833333333336,75.58333333333333,0,0,14.291666666666666,0,0,47.583333333333336,7.420833333333334,10.825000000000003,142.79166666666666,132.75,12.266666666666667,227
"2022-01-02",-99.1332,19.4326,"Mexico City",2.625,980.0799999999999,16.668333333333333,38.10666666666666,37.91458333333333,45.72541666666667,20.909166666666668,30.631250000000005,5.5825,16.108333333333334,33.208333333333336,0,0,1.4166666666666667,1.125,0.6666666666666666,0,9.287500000000001,11.250000000000002,166.79166666666666,146.83333333333334,16.579166666666666,2238
"2022-01-02",72.8777,19.076,"Mumbai",5.0,2036.6508333333331,5.279583333333334,61.390833333333326,114.14541666666666,55.095000000000006,218.115,256.90875,20.984166666666667,25.504166666666666,72.375,0,0,8.083333333333334,2.4166666666666665,9.75,0,7.829166666666668,12.058333333333335,93.79166666666667,108.83333333333333,13.529166666666667,9
"2022-01-02",135.5023,34.6937,"Osaka",1.875,388.02583333333337,25.117499999999996,57.36458333333332,20.447083333333328,37.2925,8.931666666666667,12.182083333333336,1.385416666666667,4.095833333333334,79.66666666666667,0,0,21.791666666666668,19.833333333333332,6.416666666666667,0.5416666666666666,6.545833333333334,10.937500000000002,193.54166666666666,204.58333333333334,15.799999999999999,14
"2022-01-02",-46.6333,-23.5505,"São Paulo",3.4166666666666665,958.7995833333331,13.800416666666669,43.14750000000001,39.7875,30.552916666666665,30.69875,47.14083333333334,11.434166666666668,22.587500000000002,83.29166666666667,0.32083333333333336,0.32083333333333336,42.041666666666664,9.125,30.916666666666668,51.375,8.408333333333333,14.183333333333335,137.54166666666666,121.83333333333333,17.79583333333333,739
"2022-01-02",121.4737,31.2304,"Shanghai",5.0,8836.427916666666,440.10583333333335,139.71791666666667,1.6262500000000004,887.87,513.3491666666667,615.1683333333332,5.59375,5.358333333333334,80.58333333333333,0,0,8.125,8.125,0,2.4166666666666665,8.966666666666663,13.404166666666667,77.91666666666667,59.166666666666664,15.991666666666662,4
